"Player","Team","Salary","Position","K","H","M","T","FF","FA","HO","B","G","CBA","KI","PO","FP","TOG","PPM"
"Jack Macrae","Western Bulldogs",972000,"MID",20,13,6,10,5,2,0,0,0,18,0,0,143,81,1.44
"Patrick Cripps","Carlton",686000,"MID",12,18,3,8,4,0,0,0,4,26,0,0,141,83,1.3
"Matthew Kennedy","Carlton",720000,"MID",17,20,9,1,2,1,0,2,2,17,0,0,135,78,1.33
"Jayden Short","Richmond",783000,"DEF",26,5,8,3,2,0,0,0,0,0,9,6,126,83,1.25
"Max Gawn","Melbourne",911000,"RUC",15,8,9,1,1,1,28,0,1,20,0,0,124,88,1.08
"Josh Kelly","GWS Giants",870000,"MID",17,24,3,4,1,1,0,0,0,13,0,0,122,86,1.12
"Tim Taranto","GWS Giants",904000,"MID/FWD",20,11,9,1,1,2,1,1,2,6,0,0,122,97,1
"Stephen Coniglio","GWS Giants",695000,"MID/FWD",16,11,10,5,0,0,0,0,0,15,0,0,120,77,1.23
"Callan Ward","GWS Giants",703000,"MID",20,10,11,1,1,0,0,0,0,0,0,0,118,78,1.2
"Luke Ryan","Fremantle",733000,"DEF",18,6,13,4,0,1,0,0,0,0,4,2,118,79,1.3
"Liam Baker","Richmond",610000,"DEF",10,16,6,4,2,0,0,0,2,3,0,0,110,81,1.12
"Tristan Xerri","North Melbourne",281000,"FWD",8,9,5,6,3,1,29,0,0,16,0,0,110,89,1.01
"Tim Kelly","West Coast Eagles",707000,"MID",19,13,4,2,2,1,0,2,1,21,0,0,110,76,1.25
"Reilly O'Brien","Adelaide Crows",723000,"RUC",6,9,6,4,6,2,33,0,1,27,0,0,109,82,1.03
"Ollie Wines","Port Adelaide",938000,"MID",14,23,2,3,3,0,0,0,0,22,0,0,109,83,1.02
"Adam Treloar","Western Bulldogs",731000,"MID/FWD",12,17,6,2,0,0,0,0,2,17,0,0,108,81,1.08
"Marcus Bontempelli","Western Bulldogs",905000,"MID",15,7,6,6,0,0,0,0,1,15,0,0,107,87,1
"Zak Butters","Port Adelaide",639000,"FWD",16,16,8,2,3,5,0,1,1,15,0,0,107,85,0.97
"Justin McInerney","Sydney Swans",583000,"DEF/MID",15,15,5,2,3,0,0,0,1,4,0,0,107,83,1.05
"Tim English","Western Bulldogs",673000,"RUC/FWD",13,8,8,4,2,1,12,0,0,19,0,0,106,79,1.09
"Lachie Neale","Brisbane Lions",792000,"MID",17,13,4,4,0,2,0,1,1,23,0,0,106,87,0.99
"Connor Rozee","Port Adelaide",567000,"FWD",13,10,5,4,3,0,0,1,2,7,0,0,106,79,1.04
"Josh Dunkley","Western Bulldogs",767000,"MID/FWD",13,19,3,3,1,0,0,0,1,21,0,0,105,81,1.05
"Riley Bonner","Port Adelaide",576000,"DEF/MID",22,9,7,2,1,3,0,0,0,0,6,5,105,86,0.94
"Oliver Florent","Sydney Swans",609000,"MID",19,6,8,2,1,1,0,0,1,8,0,0,105,79,1.08
"Trent Cotchin","Richmond",636000,"MID",12,14,6,5,2,0,0,0,0,16,0,0,104,67,1.28
"Andrew Brayshaw","Fremantle",875000,"MID",14,16,3,5,2,3,0,0,1,15,0,0,102,77,1.15
"Rowan Marshall","St Kilda",752000,"RUC",17,7,5,0,6,1,18,0,0,18,0,0,101,81,1.04
"Chad Warner","Sydney Swans",579000,"MID",15,12,3,7,0,2,0,1,0,6,0,0,101,76,1.08
"Zac Fisher","Carlton",485000,"FWD",14,10,7,1,1,0,0,0,2,4,0,0,100,86,0.89
"Darcy Byrne-Jones","Port Adelaide",643000,"DEF",14,10,4,7,1,1,0,0,0,0,1,1,100,85,0.91
"Isaac Heeney","Sydney Swans",639000,"FWD",10,7,4,7,1,3,0,0,4,5,0,0,100,72,1.13
"Bailey Smith","Western Bulldogs",733000,"MID",12,10,7,6,0,1,0,1,0,7,0,0,99,82,0.98
"Nick Daicos","Collingwood",284000,"MID",17,14,5,1,1,0,0,0,0,9,0,0,99,87,0.9
"Travis Boak","Port Adelaide",819000,"MID",11,15,3,4,1,1,0,0,2,17,0,0,98,83,0.91
"Jye Caldwell","Essendon",488000,"MID",15,9,4,5,5,1,0,1,0,12,0,0,98,75,1.09
"Luke Davies-Uniacke","North Melbourne",684000,"MID",15,7,2,7,5,0,0,0,0,15,0,0,98,84,0.95
"Karl Amon","Port Adelaide",828000,"MID",13,10,4,5,3,1,0,0,1,8,0,0,97,80,0.94
"Nick Blakey","Sydney Swans",501000,"DEF",19,9,5,3,1,2,0,0,0,0,3,3,97,80,0.99
"Michael Walters","Fremantle",516000,"FWD",14,2,10,2,0,0,0,1,2,0,0,0,97,76,1.11
"Christian Petracca","Melbourne",930000,"MID",18,9,7,2,1,3,0,3,0,25,0,0,96,87,0.85
"Charlie Cameron","Brisbane Lions",522000,"FWD",16,4,7,2,1,1,0,1,2,0,0,0,96,86,0.91
"Conor Nash","Hawthorn",466000,"MID/FWD",13,11,4,7,0,2,0,1,0,14,0,0,96,77,1.03
"Ryan Burton","Port Adelaide",616000,"DEF",16,14,5,2,3,2,0,0,0,0,1,1,96,79,0.94
"Will Brodie","Fremantle",387000,"MID/FWD",15,8,1,8,3,1,0,0,0,13,0,0,96,67,1.24
"Tom Green","GWS Giants",602000,"MID",17,14,3,2,2,1,0,0,0,16,0,0,95,81,0.93
"Jack Crisp","Collingwood",854000,"DEF/MID",15,10,5,4,2,1,0,0,0,16,0,0,95,89,0.85
"Adam Cerra","Carlton",732000,"MID",9,21,2,4,3,0,0,0,0,19,0,0,94,79,0.91
"Hugh McCluggage","Brisbane Lions",839000,"MID",13,9,5,4,2,1,0,1,1,14,0,0,94,81,0.94
"Tom Phillips","Hawthorn",613000,"MID",15,7,6,2,2,0,0,0,1,0,0,0,93,82,0.94
"Noah Balta","Richmond",459000,"DEF",11,8,7,1,1,2,5,1,3,5,0,0,93,73,1.05
"James Rowbottom","Sydney Swans",634000,"MID",15,8,2,7,1,1,0,0,0,13,0,0,93,79,0.96
"Matt Taberner","Fremantle",524000,"FWD",12,4,10,1,1,0,1,1,2,0,0,0,93,89,0.91
"Nic Newman","Carlton",725000,"DEF",16,11,7,1,0,1,0,0,0,0,3,3,92,84,0.84
"Blake Acres","Fremantle",554000,"MID",12,10,8,1,1,0,0,1,1,0,0,0,92,81,0.98
"Josh Ward","Hawthorn",278000,"MID",17,12,4,2,1,2,0,1,0,17,0,0,91,67,1.12
"Toby Nankervis","Richmond",699000,"RUC",8,12,4,5,2,3,18,0,0,16,0,0,91,76,0.99
"Caleb Serong","Fremantle",691000,"MID",16,9,8,1,0,1,0,0,0,15,0,0,91,71,1.11
"Caleb Daniel","Western Bulldogs",729000,"DEF",21,2,5,2,0,0,0,0,0,0,5,4,90,84,0.87
"Joshua Rachele","Adelaide Crows",280000,"MID/FWD",8,4,0,9,4,0,0,0,3,0,0,0,90,78,0.89
"Dan Houston","Port Adelaide",670000,"DEF",12,13,5,2,1,1,0,1,1,0,0,0,90,86,0.81
"Scott Pendlebury","Collingwood",708000,"MID",11,17,4,4,1,2,0,0,0,6,2,1,90,85,0.84
"Jake Lloyd","Sydney Swans",823000,"DEF",16,10,8,1,0,2,0,0,0,1,6,6,90,81,0.91
"Heath Chapman","Fremantle",408000,"DEF",15,8,8,2,0,1,0,0,0,0,0,0,90,77,1.01
"Mitch McGovern","Carlton",463000,"FWD",15,4,6,4,2,0,0,0,0,0,2,2,89,62,1.1
"Xavier Duursma","Port Adelaide",586000,"MID",14,7,6,2,0,0,0,1,1,5,0,0,89,74,0.93
"Peter Wright","Essendon",581000,"RUC/FWD",10,2,6,1,1,1,17,0,3,5,0,0,89,86,0.86
"Rory Sloane","Adelaide Crows",718000,"MID",15,13,3,3,1,2,0,1,0,20,0,0,88,76,0.9
"George Hewett","Carlton",537000,"DEF/MID",12,21,0,2,0,0,0,1,0,24,0,0,87,79,0.84
"Nathan Broad","Richmond",567000,"DEF",14,6,7,3,0,0,0,0,0,0,2,0,87,90,0.8
"Kamdyn McIntosh","Richmond",516000,"MID",14,11,5,2,0,0,0,0,0,0,0,0,87,81,0.89
"Daniel Rioli","Richmond",469000,"DEF/FWD",17,6,5,2,1,0,0,0,0,0,1,1,87,79,0.91
"Jarrod Berry","Brisbane Lions",725000,"MID",11,8,6,5,2,1,0,0,0,11,0,0,86,82,0.85
"Hugo Ralphsmith","Richmond",258000,"MID/FWD",15,5,10,0,1,0,0,0,0,0,1,1,86,85,0.83
"Lachie Jones","Port Adelaide",368000,"DEF",9,13,4,5,1,0,0,0,0,0,0,0,86,74,0.9
"Jack Steele","St Kilda",1018000,"MID",12,8,5,5,1,1,0,1,0,20,0,0,86,82,0.87
"Bradley Hill","St Kilda",597000,"DEF",18,10,5,0,0,1,0,0,0,0,5,5,86,89,0.8
"Mason Wood","St Kilda",488000,"FWD",11,2,4,6,1,0,0,0,2,0,0,0,86,78,0.92
"Lachie Whitfield","GWS Giants",795000,"DEF/MID",16,7,6,2,1,1,0,0,0,0,2,2,86,82,0.83
"Callum Mills","Sydney Swans",922000,"MID",11,4,5,8,1,1,0,0,0,8,0,0,86,41,1.71
"Adam Saad","Carlton",586000,"DEF",18,7,1,4,1,1,0,0,0,0,1,1,85,84,0.78
"Braydon Preuss","GWS Giants",367000,"RUC",6,6,6,6,2,1,14,0,0,10,0,0,85,78,0.86
"Luke McDonald","North Melbourne",571000,"MID",15,7,5,4,1,2,0,0,0,0,3,3,85,89,0.78
"Dion Prestia","Richmond",769000,"MID",17,7,3,3,1,1,0,0,0,18,0,0,84,70,0.99
"Brodie Smith","Adelaide Crows",668000,"DEF",16,5,4,4,1,1,0,0,0,0,2,1,84,83,0.78
"Alex Witherden","West Coast Eagles",791000,"DEF",21,6,5,0,0,2,0,0,0,0,6,6,84,91,0.8
"Clayton Oliver","Melbourne",912000,"MID",10,18,3,3,2,2,0,0,0,28,0,0,83,89,0.72
"Brodie Grundy","Collingwood",893000,"RUC",7,8,3,4,5,3,25,0,0,24,0,0,83,80,0.82
"Luke Parker","Sydney Swans",833000,"MID",16,7,2,6,2,4,0,1,0,12,0,0,83,69,0.98
"Todd Goldstein","North Melbourne",720000,"RUC",6,7,3,2,6,0,22,0,1,7,0,0,83,81,0.83
"Bailey Dale","Western Bulldogs",700000,"DEF",17,4,4,1,1,0,0,0,1,0,5,5,82,82,0.81
"John Noble","Collingwood",626000,"DEF",11,14,4,2,1,0,0,0,0,0,1,1,82,80,0.81
"Jordan Clark","Fremantle",552000,"MID",13,11,6,2,1,2,0,0,0,0,0,0,82,84,0.85
"Jarryd Lyons","Brisbane Lions",982000,"MID",11,11,2,5,0,0,0,0,0,8,0,0,81,75,0.88
"Jack Ross","Richmond",468000,"MID",13,8,6,3,1,2,0,1,0,4,0,0,81,87,0.77
"Archie Perkins","Essendon",421000,"FWD",11,6,2,4,1,0,0,1,2,5,0,0,81,83,0.81
"Josh Daicos","Collingwood",599000,"MID",9,13,3,5,1,1,0,1,0,0,0,0,81,91,0.7
"Andrew Gaff","West Coast Eagles",815000,"MID",13,8,5,1,0,0,0,0,1,8,0,0,80,79,0.88
